Episode,Reward
1,138.725
2,355.324
3,497.481
4,1506.873
5,247.287
6,1424.349
7,1854.049
8,444.944
9,833.463
10,747.948
11,1214.846
12,2968.682
13,967.083
14,1032.361
15,5666.386
16,4086.969
17,1315.617
18,2871.512
19,7873.247
20,1918.185
21,2672.241
22,2087.321
23,3740.571
24,2072.38
25,2323.355
26,1993.781
27,1834.472
28,4871.12
29,1967.96
30,6794.537
31,5627.343
32,2183.16
33,8726.944
34,3341.846
35,2994.37
36,5689.309
37,2213.049
38,11387.469
39,5027.907
40,2724.904
41,14402.966
42,3516.515
43,4235.056
44,9201.025
45,5984.019
46,4582.571
47,2499.497
48,7614.386
49,3691.157
50,17106.528
51,12833.111
52,7549.009
53,5642.59
54,4120.864
55,4695.065
56,4239.846
57,7311.164
58,3934.704
59,22344.059
60,4107.775
61,4611.142
62,3724.006
63,13737.003
64,24806.685
65,4466.417
66,7509.923
67,25510.34
68,4647.358
69,13616.485
70,5420.556
71,4294.299
72,17332.676
73,5470.71
74,16761.512
75,12396.534
76,7434.361
77,4627.556
78,5840.926
79,14889.506
80,7801.645
81,14648.716
82,7410.006
83,11248.265
84,26085.59
85,14883.157
86,9830.756
87,10033.997
88,13368.117
89,5393.605
90,14281.978
91,13060.583
92,4158.167
93,4185.019
94,16215.873
95,10689.398
96,5020.407
97,5777.324
98,13221.105
99,16297.846
100,34579.046
